Brand,Model,Year of Fabrication,Kilometres,Location,PriceEuro
BMW,X3,2015,179 600 km,"Magurele str Magnoliei nr.10 - 077125 Magurele, Judet Bucuresti - Ilfov (Romania)","21 955"
Volvo,S60,2021,49 800 km,"STR. RUBINULUI 8 - 707083 Valea Lupului, Judet Iasi (Romania)","49 385"
Porsche,992,2023,7 600 km,"Bucuresti, Sectorul 3","165 000"
Mercedes-Benz,GLA,2016,188 754 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","18 249"
Ford,Mondeo,2017,175 586 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","13 750"
Mercedes-Benz,GLA,2016,183 093 km,"Splaiul Independenței 319, Sema Parc - Paris - 060044 Bucuresti, Judet Bucuresti (Romania)","16 250"
BMW,Seria 4,2017,64 776 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","33 306"
Mercedes-Benz,GLC Coupe,2019,32 000 km,"Galati, Galati - 800364 Galati, Judet Galati (Romania)","45 999"
Fiat,Tipo,2018,37 574 km,"Calea Bucuresti, nr. 111 - 077180 Tunari, Judet Bucuresti - Ilfov (Romania)","9 390"
BMW,X7,2020,72 166 km,"DN 1B , SOS. PLOIESTI - BUZAU, NR. 505 - 107070 Blejoi, Judet Prahova (Romania)","77 231"
Porsche,Cayenne,2021,87 578 km,"RETEA NATIONALA DE VANZARI - BUCURESTI Galati, Judet Galati (Romania)","92 806"
Renault,Espace,2016,140 000 km,"Str. Soarelui, Nr. 90 - 077040 Chiajna, Judet Bucuresti - Ilfov (Romania)","16 500"
Mercedes-Benz,C,2021,8 572 km,"Bucuresti, Sectorul 1","40 850"
